"","iter","swarm","algorithm","loglikelihood"
"1",100,10,"DE",-322.867205846753
"1.1",100,10,"DE",-343.077574255719
"1.2",100,10,"DE",-353.328813349233
"1.3",100,10,"DE",-369.533130165821
"1.4",100,10,"DE",-338.728646493242
"1.5",100,10,"DE",-334.570398212806
"1.6",100,10,"DE",-376.779922517142
"1.7",100,10,"DE",-354.202044442733
"1.8",100,10,"DE",-351.748915925055
"1.9",100,10,"DE",-354.478767482879
"2",250,10,"DE",-303.251996251331
"2.1",250,10,"DE",-311.802475363653
"2.2",250,10,"DE",-304.721699690714
"2.3",250,10,"DE",-295.54974093119
"2.4",250,10,"DE",-308.205037519645
"2.5",250,10,"DE",-295.947007769475
"2.6",250,10,"DE",-297.367119696029
"2.7",250,10,"DE",-302.779700398909
"2.8",250,10,"DE",-294.528034354837
"2.9",250,10,"DE",-298.978014227155
"3",500,10,"DE",-293.411128673716
"3.1",500,10,"DE",-293.309768160912
"3.2",500,10,"DE",-296.420833692861
"3.3",500,10,"DE",-307.244831202769
"3.4",500,10,"DE",-293.268295256182
"3.5",500,10,"DE",-313.389818473868
"3.6",500,10,"DE",-294.250656222492
"3.7",500,10,"DE",-297.906381568935
"3.8",500,10,"DE",-304.906972474427
"3.9",500,10,"DE",-299.892873973913
"4",750,10,"DE",-307.87982653063
"4.1",750,10,"DE",-303.098516562317
"4.2",750,10,"DE",-300.656754135945
"4.3",750,10,"DE",-293.307953866283
"4.4",750,10,"DE",-293.380695211593
"4.5",750,10,"DE",-293.210563173332
"4.6",750,10,"DE",-311.913061671818
"4.7",750,10,"DE",-293.29362603537
"4.8",750,10,"DE",-305.040265138696
"4.9",750,10,"DE",-300.590469374615
"5",1000,10,"DE",-293.312361182172
"5.1",1000,10,"DE",-293.241327210196
"5.2",1000,10,"DE",-293.172810490433
"5.3",1000,10,"DE",-304.430600886294
"5.4",1000,10,"DE",-293.154269479489
"5.5",1000,10,"DE",-310.220779404234
"5.6",1000,10,"DE",-293.018842651203
"5.7",1000,10,"DE",-293.608736405842
"5.8",1000,10,"DE",-293.210295954492
"5.9",1000,10,"DE",-294.992178639135
"6",2000,10,"DE",-301.252147911377
"6.1",2000,10,"DE",-293.154237131683
"6.2",2000,10,"DE",-309.738443025132
"6.3",2000,10,"DE",-307.101647967545
"6.4",2000,10,"DE",-293.241306810695
"6.5",2000,10,"DE",-297.264349575346
"6.6",2000,10,"DE",-295.739843047468
"6.7",2000,10,"DE",-305.583133143795
"6.8",2000,10,"DE",-294.13150125478
"6.9",2000,10,"DE",-295.714131020552
"7",100,20,"DE",-326.951173541169
"7.1",100,20,"DE",-363.764959252927
"7.2",100,20,"DE",-371.272788525454
"7.3",100,20,"DE",-359.017109992397
"7.4",100,20,"DE",-413.725791507833
"7.5",100,20,"DE",-366.959462950227
"7.6",100,20,"DE",-325.073775841476
"7.7",100,20,"DE",-365.455687199802
"7.8",100,20,"DE",-393.452596331691
