"","iter","swarm","algorithm","loglikelihood"
"1",100,10,"DE",-448.769193383642
"1.1",100,10,"DE",-448.981079733518
"1.2",100,10,"DE",-449.411001110738
"1.3",100,10,"DE",-450.127743373807
"1.4",100,10,"DE",-450.777265021531
"1.5",100,10,"DE",-448.387539420523
"1.6",100,10,"DE",-448.239553198184
"1.7",100,10,"DE",-448.326382158453
"1.8",100,10,"DE",-448.304117496864
"1.9",100,10,"DE",-449.521893302523
"2",250,10,"DE",-448.199335530613
"2.1",250,10,"DE",-448.216833240053
"2.2",250,10,"DE",-448.197609335633
"2.3",250,10,"DE",-448.197876488814
"2.4",250,10,"DE",-448.209363897139
"2.5",250,10,"DE",-448.207232809063
"2.6",250,10,"DE",-448.211415775527
"2.7",250,10,"DE",-448.198062960129
"2.8",250,10,"DE",-451.935083033082
"2.9",250,10,"DE",-448.197366065499
"3",500,10,"DE",-448.197294557319
"3.1",500,10,"DE",-448.197294637603
"3.2",500,10,"DE",-448.197736288534
"3.3",500,10,"DE",-448.197294587056
"3.4",500,10,"DE",-448.197311041882
"3.5",500,10,"DE",-448.198186383593
"3.6",500,10,"DE",-448.197295060751
"3.7",500,10,"DE",-448.197296830716
"3.8",500,10,"DE",-448.197294532857
"3.9",500,10,"DE",-448.197296074057
"4",750,10,"DE",-448.197294798654
"4.1",750,10,"DE",-448.197299278437
"4.2",750,10,"DE",-448.197294533213
"4.3",750,10,"DE",-448.197294723825
"4.4",750,10,"DE",-448.197294569054
"4.5",750,10,"DE",-448.19741613256
"4.6",750,10,"DE",-448.197294887823
"4.7",750,10,"DE",-448.197301259874
"4.8",750,10,"DE",-448.197294781951
"4.9",750,10,"DE",-448.197294887914
"5",1000,10,"DE",-448.197294984381
"5.1",1000,10,"DE",-448.197294532863
"5.2",1000,10,"DE",-448.197294532907
"5.3",1000,10,"DE",-448.197504633639
"5.4",1000,10,"DE",-448.197294536943
"5.5",1000,10,"DE",-448.1972945481
"5.6",1000,10,"DE",-448.197294533139
"5.7",1000,10,"DE",-448.197294535716
"5.8",1000,10,"DE",-448.197294545685
"5.9",1000,10,"DE",-448.19729462576
"6",2000,10,"DE",-448.197294532854
"6.1",2000,10,"DE",-448.19729453297
"6.2",2000,10,"DE",-448.197294556746
"6.3",2000,10,"DE",-448.197294532857
"6.4",2000,10,"DE",-448.197294532865
"6.5",2000,10,"DE",-448.197294532852
"6.6",2000,10,"DE",-448.197294532855
"6.7",2000,10,"DE",-448.197294537484
"6.8",2000,10,"DE",-448.197294532859
"6.9",2000,10,"DE",-448.197294532853
"7",100,20,"DE",-448.298374072608
"7.1",100,20,"DE",-448.715543383243
"7.2",100,20,"DE",-449.053711105369
"7.3",100,20,"DE",-448.980438208681
"7.4",100,20,"DE",-449.166247301025
"7.5",100,20,"DE",-448.252257893341
"7.6",100,20,"DE",-448.505676377777
"7.7",100,20,"DE",-449.26801679836
"7.8",100,20,"DE",-449.337044000401
"7.9",100,20,"DE",-448.446467947385
"8",250,20,"DE",-448.19778705913
"8.1",250,20,"DE",-448.207611662374
"8.2",250,20,"DE",-448.203089192942
"8.3",250,20,"DE",-448.202861734749
"8.4",250,20,"DE",-448.19729522008
"8.5",250,20,"DE",-448.203844954378
"8.6",250,20,"DE",-448.201969274305
"8.7",250,20,"DE",-448.198099071648
"8.8",250,20,"DE",-448.197492950659
"8.9",250,20,"DE",-448.19976833813
"9",500,20,"DE",-448.201742884946
"9.1",500,20,"DE",-448.199493501389
"9.2",500,20,"DE",-448.197423444709
"9.3",500,20,"DE",-448.199339699057
"9.4",500,20,"DE",-448.197322456589
"9.5",500,20,"DE",-448.19729478602
"9.6",500,20,"DE",-448.197362100132
"9.7",500,20,"DE",-448.198755295707
"9.8",500,20,"DE",-448.197542435704
"9.9",500,20,"DE",-448.197294533449
"10",750,20,"DE",-448.197300267877
"10.1",750,20,"DE",-448.198484224498
"10.2",750,20,"DE",-448.197302569894
"10.3",750,20,"DE",-448.197300200018
"10.4",750,20,"DE",-448.197308213495
"10.5",750,20,"DE",-448.197294634229
"10.6",750,20,"DE",-448.19729458953
"10.7",750,20,"DE",-448.198458122165
"10.8",750,20,"DE",-448.197296171444
"10.9",750,20,"DE",-448.197618962392
"11",1000,20,"DE",-448.197294534427
"11.1",1000,20,"DE",-448.197298751836
