"","iter","swarm","algorithm","loglikelihood"
"1",100,10,"DE",-20474.2528967821
"1.1",100,10,"DE",-20760.1234904237
"1.2",100,10,"DE",-20419.5530268776
"1.3",100,10,"DE",-19680.1485342306
"1.4",100,10,"DE",-20084.4853183226
"1.5",100,10,"DE",-20720.2533428417
"1.6",100,10,"DE",-20601.0403194677
"1.7",100,10,"DE",-20282.3769913565
"1.8",100,10,"DE",-20770.8222150611
"1.9",100,10,"DE",-20206.900952264
"2",250,10,"DE",-19032.2901078307
"2.1",250,10,"DE",-19130.8832179898
"2.2",250,10,"DE",-18651.2666822863
"2.3",250,10,"DE",-18651.6428641833
"2.4",250,10,"DE",-18742.8649850634
"2.5",250,10,"DE",-19136.2501688832
"2.6",250,10,"DE",-18842.7647970358
"2.7",250,10,"DE",-18940.5895612234
"2.8",250,10,"DE",-19103.0164925438
"2.9",250,10,"DE",-18697.4793912307
"3",500,10,"DE",-17845.1690611145
"3.1",500,10,"DE",-17795.1548644486
"3.2",500,10,"DE",-17862.6296358883
"3.3",500,10,"DE",-17892.7820287769
"3.4",500,10,"DE",-17773.3514846576
"3.5",500,10,"DE",-17939.5214787731
"3.6",500,10,"DE",-17703.2822092413
"3.7",500,10,"DE",-17986.5255984845
"3.8",500,10,"DE",-17984.1716978216
"3.9",500,10,"DE",-17559.6612849166
"4",750,10,"DE",-17168.3231292286
"4.1",750,10,"DE",-17231.2986129712
"4.2",750,10,"DE",-17310.835826848
"4.3",750,10,"DE",-17465.1143874945
"4.4",750,10,"DE",-17408.8166038002
"4.5",750,10,"DE",-17079.5796711246
"4.6",750,10,"DE",-17174.1764803538
"4.7",750,10,"DE",-17332.1759367931
"4.8",750,10,"DE",-17176.6558706657
"4.9",750,10,"DE",-17672.2173794427
"5",1000,10,"DE",-17232.4537526513
"5.1",1000,10,"DE",-17034.4169494883
"5.2",1000,10,"DE",-17256.0247414065
"5.3",1000,10,"DE",-17275.4581661446
"5.4",1000,10,"DE",-17144.0887829944
"5.5",1000,10,"DE",-16994.2266710288
"5.6",1000,10,"DE",-17220.6942902702
"5.7",1000,10,"DE",-17142.159920477
"5.8",1000,10,"DE",-17093.8403126417
"5.9",1000,10,"DE",-16905.5129716676
"6",2000,10,"DE",-16838.2156911372
"6.1",2000,10,"DE",-16953.1876855027
"6.2",2000,10,"DE",-16835.7778170493
"6.3",2000,10,"DE",-16955.7984442182
"6.4",2000,10,"DE",-16763.3970446093
"6.5",2000,10,"DE",-16865.3150541254
"6.6",2000,10,"DE",-16881.5578295551
"6.7",2000,10,"DE",-16819.9894996376
"6.8",2000,10,"DE",-16957.5457230063
"6.9",2000,10,"DE",-16882.736908049
"7",100,20,"DE",-21261.0151566762
"7.1",100,20,"DE",-20381.1880209234
"7.2",100,20,"DE",-21369.8383970461
"7.3",100,20,"DE",-20830.9924787113
"7.4",100,20,"DE",-20767.0444442471
"7.5",100,20,"DE",-20674.800718021
"7.6",100,20,"DE",-21096.9201554609
"7.7",100,20,"DE",-21146.4059391484
"7.8",100,20,"DE",-20703.6201733035
"7.9",100,20,"DE",-20981.8810645572
"8",250,20,"DE",-19442.4324475227
"8.1",250,20,"DE",-19243.5392479698
"8.2",250,20,"DE",-19223.1601020891
"8.3",250,20,"DE",-18986.4132026448
"8.4",250,20,"DE",-19362.0880319776
"8.5",250,20,"DE",-19417.031032166
"8.6",250,20,"DE",-19676.7582221266
"8.7",250,20,"DE",-19305.2420260876
"8.8",250,20,"DE",-19827.1245179608
"8.9",250,20,"DE",-19936.1439323995
"9",500,20,"DE",-18012.3415999719
"9.1",500,20,"DE",-17809.4281452521
"9.2",500,20,"DE",-18024.0609487805
"9.3",500,20,"DE",-18041.3359918543
"9.4",500,20,"DE",-18106.7449049291
"9.5",500,20,"DE",-17852.2044491656
"9.6",500,20,"DE",-18042.0895487384
"9.7",500,20,"DE",-17676.6920312072
"9.8",500,20,"DE",-18086.5154469038
"9.9",500,20,"DE",-18107.1451079014
"10",750,20,"DE",-17348.925173833
"10.1",750,20,"DE",-17384.4381123281
"10.2",750,20,"DE",-17235.0341658228
"10.3",750,20,"DE",-17486.513907938
"10.4",750,20,"DE",-17086.6479644736
"10.5",750,20,"DE",-17171.1325904845
"10.6",750,20,"DE",-17217.275828846
"10.7",750,20,"DE",-17059.0918032837
"10.8",750,20,"DE",-17318.4987677656
"10.9",750,20,"DE",-17346.8389720186
"11",1000,20,"DE",-16848.4320571704
"11.1",1000,20,"DE",-17225.6876009292
"11.2",1000,20,"DE",-16991.8404019652
"11.3",1000,20,"DE",-16872.0167379556
"11.4",1000,20,"DE",-16845.82404782
"11.5",1000,20,"DE",-17118.1019514933
"11.6",1000,20,"DE",-17018.5572680684
"11.7",1000,20,"DE",-17003.8637855708
"11.8",1000,20,"DE",-16927.4702673263
"11.9",1000,20,"DE",-16845.4346608164
"12",2000,20,"DE",-16795.6867537972
"12.1",2000,20,"DE",-16903.365579952
"12.2",2000,20,"DE",-16727.0729102396
"12.3",2000,20,"DE",-16832.5688665
"12.4",2000,20,"DE",-16725.8769659194
