"","iter","swarm","algorithm","loglikelihood"
"1",100,10,"DE",-2960.1867007907
"1.1",100,10,"DE",-2838.13244317669
"1.2",100,10,"DE",-2859.34396222885
"1.3",100,10,"DE",-2845.90049331573
"1.4",100,10,"DE",-2824.94526775073
"1.5",100,10,"DE",-2840.60198579136
"1.6",100,10,"DE",-2907.99652986619
"1.7",100,10,"DE",-2818.62834572666
"1.8",100,10,"DE",-2822.72143978281
"1.9",100,10,"DE",-2882.75796861251
"2",250,10,"DE",-2768.2140113053
"2.1",250,10,"DE",-2794.43051629016
"2.2",250,10,"DE",-2769.08733916792
"2.3",250,10,"DE",-2766.6405990868
"2.4",250,10,"DE",-2776.29159436
"2.5",250,10,"DE",-2768.60642669732
"2.6",250,10,"DE",-2756.2057010886
"2.7",250,10,"DE",-2776.63778192865
"2.8",250,10,"DE",-2765.72810387873
"2.9",250,10,"DE",-2759.37882291157
"3",500,10,"DE",-2759.93495643898
"3.1",500,10,"DE",-2764.19580403958
"3.2",500,10,"DE",-2760.09144162136
"3.3",500,10,"DE",-2770.92168949772
"3.4",500,10,"DE",-2762.07295686181
"3.5",500,10,"DE",-2755.0350678002
"3.6",500,10,"DE",-2782.36162584239
"3.7",500,10,"DE",-2757.33906368114
"3.8",500,10,"DE",-2761.81539199076
"3.9",500,10,"DE",-2755.00065963209
"4",750,10,"DE",-2757.53966684757
"4.1",750,10,"DE",-2754.81955185627
"4.2",750,10,"DE",-2754.85813199281
"4.3",750,10,"DE",-2755.38575685402
"4.4",750,10,"DE",-2755.18671663256
"4.5",750,10,"DE",-2764.31901728039
"4.6",750,10,"DE",-2754.89255934346
"4.7",750,10,"DE",-2756.97189911042
"4.8",750,10,"DE",-2758.70798434834
"4.9",750,10,"DE",-2755.17334954841
"5",1000,10,"DE",-2764.36463994137
"5.1",1000,10,"DE",-2754.85123982457
"5.2",1000,10,"DE",-2756.35410970945
"5.3",1000,10,"DE",-2754.82288977432
"5.4",1000,10,"DE",-2755.56721359533
"5.5",1000,10,"DE",-2754.81936384479
"5.6",1000,10,"DE",-2755.92877173495
"5.7",1000,10,"DE",-2754.84016803069
"5.8",1000,10,"DE",-2763.59212086116
"5.9",1000,10,"DE",-2761.82648761894
"6",2000,10,"DE",-2756.82696448727
"6.1",2000,10,"DE",-2764.04353986032
"6.2",2000,10,"DE",-2754.86181032648
"6.3",2000,10,"DE",-2758.39673452724
"6.4",2000,10,"DE",-2756.92325696727
"6.5",2000,10,"DE",-2754.85741460615
"6.6",2000,10,"DE",-2754.82315441109
"6.7",2000,10,"DE",-2763.42163729464
"6.8",2000,10,"DE",-2798.54643982882
"6.9",2000,10,"DE",-2755.90445946689
"7",100,20,"DE",-2914.84997542448
"7.1",100,20,"DE",-2828.66920593929
"7.2",100,20,"DE",-2856.94217993069
"7.3",100,20,"DE",-2959.3549757909
"7.4",100,20,"DE",-2862.1454640828
"7.5",100,20,"DE",-2848.8701184443
"7.6",100,20,"DE",-2924.38595657372
"7.7",100,20,"DE",-2865.31167867966
"7.8",100,20,"DE",-2835.66721186614
"7.9",100,20,"DE",-2923.02579636882
"8",250,20,"DE",-2762.75778558294
"8.1",250,20,"DE",-2760.68986600839
"8.2",250,20,"DE",-2761.90340303866
"8.3",250,20,"DE",-2763.14043753881
"8.4",250,20,"DE",-2757.13845188256
"8.5",250,20,"DE",-2780.97796798296
"8.6",250,20,"DE",-2760.13056716829
"8.7",250,20,"DE",-2766.57481856442
"8.8",250,20,"DE",-2772.86809395655
"8.9",250,20,"DE",-2786.5648076311
"9",500,20,"DE",-2754.88747705909
