"","iter","swarm","algorithm","loglikelihood"
"1",100,10,"DE",-505.385599374871
"1.1",100,10,"DE",-505.83898784337
"1.2",100,10,"DE",-505.76601665218
"1.3",100,10,"DE",-505.040075553016
"1.4",100,10,"DE",-505.773489412905
"1.5",100,10,"DE",-504.701787918138
"1.6",100,10,"DE",-505.83897521702
"1.7",100,10,"DE",-504.817497002669
"1.8",100,10,"DE",-504.839216872768
"1.9",100,10,"DE",-505.694704963749
"2",250,10,"DE",-504.775058032981
"2.1",250,10,"DE",-504.630394289963
"2.2",250,10,"DE",-504.230145850069
"2.3",250,10,"DE",-504.85937673155
"2.4",250,10,"DE",-504.145920341767
"2.5",250,10,"DE",-504.991099841052
"2.6",250,10,"DE",-504.238231201961
"2.7",250,10,"DE",-504.284722849818
"2.8",250,10,"DE",-504.194107404245
"2.9",250,10,"DE",-504.094021786859
"3",500,10,"DE",-504.6637963888
"3.1",500,10,"DE",-504.272455177766
"3.2",500,10,"DE",-504.959106684132
"3.3",500,10,"DE",-504.15458533153
"3.4",500,10,"DE",-504.098934018946
"3.5",500,10,"DE",-504.096873728159
"3.6",500,10,"DE",-504.062183589411
"3.7",500,10,"DE",-504.643985968413
"3.8",500,10,"DE",-504.303717838215
"3.9",500,10,"DE",-504.720225996087
"4",750,10,"DE",-504.320584219441
"4.1",750,10,"DE",-504.09770388156
"4.2",750,10,"DE",-504.076230818176
"4.3",750,10,"DE",-504.321823273581
"4.4",750,10,"DE",-504.048341720498
"4.5",750,10,"DE",-504.07098743188
"4.6",750,10,"DE",-504.585373030004
"4.7",750,10,"DE",-504.260277560817
"4.8",750,10,"DE",-504.321315307387
"4.9",750,10,"DE",-504.037432607327
"5",1000,10,"DE",-504.151378092897
"5.1",1000,10,"DE",-504.690649892203
"5.2",1000,10,"DE",-504.037493446133
"5.3",1000,10,"DE",-504.554338253207
"5.4",1000,10,"DE",-504.037423496018
"5.5",1000,10,"DE",-505.216560835976
"5.6",1000,10,"DE",-504.039470350281
"5.7",1000,10,"DE",-504.067153736198
"5.8",1000,10,"DE",-504.039987624865
"5.9",1000,10,"DE",-504.552411727783
"6",2000,10,"DE",-504.677622097705
"6.1",2000,10,"DE",-504.096781089447
"6.2",2000,10,"DE",-504.037424409705
"6.3",2000,10,"DE",-504.037426460672
"6.4",2000,10,"DE",-504.552427911079
"6.5",2000,10,"DE",-504.037423438166
"6.6",2000,10,"DE",-504.037420731439
"6.7",2000,10,"DE",-504.037421456183
"6.8",2000,10,"DE",-504.302261345643
"6.9",2000,10,"DE",-504.096596648198
"7",100,20,"DE",-505.582405873047
"7.1",100,20,"DE",-509.18222786297
"7.2",100,20,"DE",-505.63719573333
"7.3",100,20,"DE",-507.174464801786
"7.4",100,20,"DE",-505.532108249087
"7.5",100,20,"DE",-506.041817280063
"7.6",100,20,"DE",-506.735930250393
"7.7",100,20,"DE",-504.833113880273
"7.8",100,20,"DE",-505.889184032874
"7.9",100,20,"DE",-507.134018941925
"8",250,20,"DE",-504.26133032832
"8.1",250,20,"DE",-504.212561588486
"8.2",250,20,"DE",-504.412265316908
"8.3",250,20,"DE",-504.124498741313
"8.4",250,20,"DE",-504.402185911409
"8.5",250,20,"DE",-504.240045798368
"8.6",250,20,"DE",-504.383282197585
"8.7",250,20,"DE",-504.254886670691
"8.8",250,20,"DE",-504.240346178486
"8.9",250,20,"DE",-504.755021487775
"9",500,20,"DE",-504.612670883749
"9.1",500,20,"DE",-504.071851680396
"9.2",500,20,"DE",-504.105924459014
"9.3",500,20,"DE",-504.072627968086
"9.4",500,20,"DE",-504.100754946516
"9.5",500,20,"DE",-504.055752906615
"9.6",500,20,"DE",-504.096819364441
"9.7",500,20,"DE",-504.09921730174
"9.8",500,20,"DE",-504.107203174918
"9.9",500,20,"DE",-504.113151948725
"10",750,20,"DE",-504.338874751366
"10.1",750,20,"DE",-504.302373528283
"10.2",750,20,"DE",-504.048793819622
"10.3",750,20,"DE",-504.083240777166
"10.4",750,20,"DE",-504.078005482122
"10.5",750,20,"DE",-504.091467342286
"10.6",750,20,"DE",-504.552930504071
"10.7",750,20,"DE",-504.322381223592
"10.8",750,20,"DE",-504.052616605216
"10.9",750,20,"DE",-504.043543013281
"11",1000,20,"DE",-504.202626358663
"11.1",1000,20,"DE",-504.229975689128
"11.2",1000,20,"DE",-504.060792975219
"11.3",1000,20,"DE",-504.037590248279
"11.4",1000,20,"DE",-504.039946688405
"11.5",1000,20,"DE",-504.038152020774
"11.6",1000,20,"DE",-504.691522844416
"11.7",1000,20,"DE",-504.302409122561
"11.8",1000,20,"DE",-504.074184796138
"11.9",1000,20,"DE",-504.044591823692
"12",2000,20,"DE",-508.777453754041
"12.1",2000,20,"DE",-504.096626054488
"12.2",2000,20,"DE",-504.037538434896
"12.3",2000,20,"DE",-504.037454277869
"12.4",2000,20,"DE",-504.552479841686
"12.5",2000,20,"DE",-504.037592782017
"12.6",2000,20,"DE",-504.044803700065
"12.7",2000,20,"DE",-504.037442546438
"12.8",2000,20,"DE",-504.037618323146
"12.9",2000,20,"DE",-504.037424417089
"13",100,50,"DE",-506.951848596127
"13.1",100,50,"DE",-506.579340249924
"13.2",100,50,"DE",-504.793159950212
"13.3",100,50,"DE",-506.488003627202
"13.4",100,50,"DE",-506.143650805826
"13.5",100,50,"DE",-505.563203623468
"13.6",100,50,"DE",-508.641861175361
"13.7",100,50,"DE",-505.928785564643
"13.8",100,50,"DE",-505.87347988913
"13.9",100,50,"DE",-507.57413521504
"14",250,50,"DE",-504.41237927303
"14.1",250,50,"DE",-504.247331269337
"14.2",250,50,"DE",-504.161942303053
"14.3",250,50,"DE",-504.301360136841
"14.4",250,50,"DE",-504.132132242919
"14.5",250,50,"DE",-504.23943909058
"14.6",250,50,"DE",-504.391780941312
"14.7",250,50,"DE",-504.304699490555
"14.8",250,50,"DE",-504.22856643998
"14.9",250,50,"DE",-504.231198140885
"15",500,50,"DE",-504.100619464286
"15.1",500,50,"DE",-504.114697824298
"15.2",500,50,"DE",-504.13334343638
"15.3",500,50,"DE",-504.117034702717
"15.4",500,50,"DE",-504.084673996938
"15.5",500,50,"DE",-504.109727109064
"15.6",500,50,"DE",-504.081293722161
"15.7",500,50,"DE",-504.112590756481
"15.8",500,50,"DE",-504.120161265054
"15.9",500,50,"DE",-504.082206213556
"16",750,50,"DE",-504.052177708457
"16.1",750,50,"DE",-504.09990843523
"16.2",750,50,"DE",-504.554221957515
"16.3",750,50,"DE",-504.33259507812
"16.4",750,50,"DE",-504.043183670471
"16.5",750,50,"DE",-504.060205876974
"16.6",750,50,"DE",-504.058487701988
"16.7",750,50,"DE",-504.041623361623
"16.8",750,50,"DE",-504.066949057407
"16.9",750,50,"DE",-504.111895617425
"17",1000,50,"DE",-504.060841715919
"17.1",1000,50,"DE",-504.1081904223
"17.2",1000,50,"DE",-504.037928732142
"17.3",1000,50,"DE",-504.060182506185
"17.4",1000,50,"DE",-504.040727571271
"17.5",1000,50,"DE",-504.098578343436
"17.6",1000,50,"DE",-504.03772523217
"17.7",1000,50,"DE",-504.048308987202
"17.8",1000,50,"DE",-504.039393923038
"17.9",1000,50,"DE",-504.041294579318
"18",2000,50,"DE",-504.037758402155
"18.1",2000,50,"DE",-504.037573870019
"18.2",2000,50,"DE",-504.04515313023
"18.3",2000,50,"DE",-504.321918834866
"18.4",2000,50,"DE",-504.322480454515
"18.5",2000,50,"DE",-504.040203075863
"18.6",2000,50,"DE",-504.038262880571
"18.7",2000,50,"DE",-504.03848004017
"18.8",2000,50,"DE",-504.096710553871
"18.9",2000,50,"DE",-504.097807859977
"19",100,75,"DE",-506.415317129859
"19.1",100,75,"DE",-506.012929558101
"19.2",100,75,"DE",-508.243338590689
"19.3",100,75,"DE",-505.831836251368
"19.4",100,75,"DE",-506.202644516753
"19.5",100,75,"DE",-506.05729706893
"19.6",100,75,"DE",-507.611025264218
"19.7",100,75,"DE",-505.40158070129
"19.8",100,75,"DE",-508.015923456484
"19.9",100,75,"DE",-506.906480989553
"20",250,75,"DE",-504.31303578236
"20.1",250,75,"DE",-504.625669765599
"20.2",250,75,"DE",-504.407580665274
"20.3",250,75,"DE",-504.419536581276
"20.4",250,75,"DE",-504.877577477887
"20.5",250,75,"DE",-504.506077455536
"20.6",250,75,"DE",-504.364291040238
"20.7",250,75,"DE",-504.249867732996
"20.8",250,75,"DE",-504.404360540639
"20.9",250,75,"DE",-504.160973253955
"21",500,75,"DE",-504.057879768931
"21.1",500,75,"DE",-504.065953373254
"21.2",500,75,"DE",-504.101676131014
"21.3",500,75,"DE",-504.068691121429
"21.4",500,75,"DE",-504.107891977156
"21.5",500,75,"DE",-504.121137247344
"21.6",500,75,"DE",-504.087808583896
"21.7",500,75,"DE",-504.122993724538
"21.8",500,75,"DE",-504.077288446309
"21.9",500,75,"DE",-504.162909144243
"22",750,75,"DE",-504.092473001543
"22.1",750,75,"DE",-504.098754539396
"22.2",750,75,"DE",-504.109437664297
"22.3",750,75,"DE",-504.552647166236
"22.4",750,75,"DE",-504.057455159245
"22.5",750,75,"DE",-504.113131664851
"22.6",750,75,"DE",-504.169346891564
"22.7",750,75,"DE",-504.102751771456
"22.8",750,75,"DE",-504.090307286069
"22.9",750,75,"DE",-504.042538685456
"23",1000,75,"DE",-504.09882842087
"23.1",1000,75,"DE",-504.038407629491
"23.2",1000,75,"DE",-504.040880792459
"23.3",1000,75,"DE",-504.114311947811
"23.4",1000,75,"DE",-504.061809580409
"23.5",1000,75,"DE",-504.03786756502
"23.6",1000,75,"DE",-504.049363927998
"23.7",1000,75,"DE",-504.047219181064
"23.8",1000,75,"DE",-504.070102169218
"23.9",1000,75,"DE",-504.044810079985
"24",2000,75,"DE",-504.038546194623
"24.1",2000,75,"DE",-504.038045442442
"24.2",2000,75,"DE",-504.038216664901
"24.3",2000,75,"DE",-504.03813767549
